"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Females.b.","Total.Persons"
"Hume","Total participants"," 1,357 "," 3,356 "," 3,384 "," 3,463 "," 3,355 "," 3,774 "," 4,078 "," 4,036 "," 4,158 "," 3,792 "," 3,633 "," 2,834 "," 1,777 "," 1,177 "," 1,192 "," 45,366 "," 87,768 "
"Hume","Eligible participants"," 1,705 "," 4,475 "," 4,582 "," 4,710 "," 4,516 "," 4,927 "," 5,162 "," 4,859 "," 4,857 "," 4,347 "," 4,029 "," 3,126 "," 2,001 "," 1,389 "," 1,510 "," 56,195 "," 111,225 "
"Hume","Participation rate (%)"," 79.6 "," 75.0 "," 73.9 "," 73.5 "," 74.3 "," 76.6 "," 79.0 "," 83.1 "," 85.6 "," 87.2 "," 90.2 "," 90.7 "," 88.8 "," 84.7 "," 78.9 "," 80.7 "," 78.9 "
"Hunter","Total participants"," 1,329 "," 3,263 "," 3,445 "," 3,553 "," 3,220 "," 3,545 "," 3,912 "," 3,997 "," 4,359 "," 4,310 "," 4,045 "," 3,395 "," 2,306 "," 1,687 "," 1,572 "," 47,938 "," 92,111 "
"Hunter","Eligible participants"," 1,717 "," 4,604 "," 4,778 "," 4,798 "," 4,455 "," 4,634 "," 4,935 "," 4,818 "," 5,081 "," 4,861 "," 4,482 "," 3,722 "," 2,555 "," 1,930 "," 1,969 "," 59,339 "," 117,364 "
"Hunter","Participation rate (%)"," 77.4 "," 70.9 "," 72.1 "," 74.1 "," 72.3 "," 76.5 "," 79.3 "," 83.0 "," 85.8 "," 88.7 "," 90.2 "," 91.2 "," 90.3 "," 87.4 "," 79.8 "," 80.8 "," 78.5 "
"Kingsford Smith","Total participants"," 1,207 "," 3,571 "," 3,790 "," 4,194 "," 4,320 "," 4,166 "," 4,263 "," 3,802 "," 3,556 "," 3,191 "," 2,897 "," 2,647 "," 1,972 "," 1,464 "," 1,651 "," 46,691 "," 88,032 "
"Kingsford Smith","Eligible participants"," 1,420 "," 4,351 "," 4,768 "," 5,369 "," 5,553 "," 5,271 "," 5,220 "," 4,595 "," 4,195 "," 3,740 "," 3,356 "," 3,037 "," 2,276 "," 1,739 "," 2,179 "," 57,069 "," 110,431 "
"Kingsford Smith","Participation rate (%)"," 85.0 "," 82.1 "," 79.5 "," 78.1 "," 77.8 "," 79.0 "," 81.7 "," 82.7 "," 84.8 "," 85.3 "," 86.3 "," 87.2 "," 86.6 "," 84.2 "," 75.8 "," 81.8 "," 79.7 "
"Lindsay","Total participants"," 1,365 "," 4,005 "," 4,203 "," 4,201 "," 3,931 "," 3,949 "," 3,909 "," 3,618 "," 3,919 "," 3,619 "," 3,215 "," 2,347 "," 1,553 "," 1,013 "," 904 "," 45,751 "," 87,600 "
